"FACILITY","SampleDate","Time","BuildingCode","SPCODE","LGT","AdClip","Size_Run","DNA_Run","CWT_Run","CATCH","Salvage","LOSS"
2,"2024-11-19","14:00","F",1,139,"N","LF","F",,1,4.00,3.19
2,"2024-11-29","10:00","F",1,134,"C","LF",,"LF",1,4.00,2.60
2,"2024-11-30","08:00","F",1,153,"N","LF","F",,1,4.00,2.60
2,"2024-12-01","10:00","F",1,170,"N","F","LF",,1,4.00,2.60
2,"2024-12-02","14:00","F",1,176,"C","F",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,140,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,145,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,150,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,155,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,175,"C","F",,"LF",1,4.00,3.52
2,"2024-12-03","06:00","F",1,180,"C","F",,,1,4.00,3.52
2,"2024-12-03","06:00","F",1,190,"C","F",,,1,4.00,3.52
2,"2024-12-03","08:00","F",1,143,"C","LF",,,1,4.00,3.52
2,"2024-12-03","14:00","F",1,136,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","14:00","F",1,154,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","14:00","F",1,162,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","18:00","F",1,153,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","18:00","F",1,155,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","18:00","F",1,166,"C","LF",,"LF",1,4.00,3.52
2,"2024-12-03","18:00","F",1,172,"C","F",,"LF",1,4.00,3.52
2,"2024-12-04","02:00","F",1,116,"C","W",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,131,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,135,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,139,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,140,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,145,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,145,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,148,"C","LF",,,1,4.00,2.60
2,"2024-12-04","02:00","F",1,150,"N","LF","F",,1,4.00,2.60
2,"2024-12-04","02:00","F",1,152,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,155,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,155,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,156,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,160,"C","LF",,"LF",1,4.00,2.60
2,"2024-12-04","02:00","F",1,160,"C","LF",,"LF",1,4.00,2.60
